team,competition,group,rating
West Ham,UEL,A,88.4
Olympiacos,UEL,A,79.8
Freiburg,UEL,A,84.5
Backa Topola,UEL,A,73.1
Ajax,UEL,B,84.3
Marseille,UEL,B,84.2
AEK Athens,UEL,B,78.7
Brighton,UEL,B,90.5
Rangers,UEL,C,80
Real Betis,UEL,C,84.9
Sparta Praha,UEL,C,80.5
Aris Limassol,UEL,C,79.2
Atalanta,UEL,D,85.9
Sporting CP,UEL,D,87
Sturm Graz,UEL,D,81.4
Rakow,UEL,D,81.5
Liverpool,UEL,E,94.8
LASK,UEL,E,78.4
Union SG,UEL,E,82.6
Toulouse,UEL,E,78.9
Villarreal,UEL,F,85
Rennes,UEL,F,84.2
Maccabi Haifa,UEL,F,80.4
Panathinaikos,UEL,F,78.4
Roma,UEL,G,85.3
Slavia Praha,UEL,G,80.7
Sheriff,UEL,G,76.3
Servette,UEL,G,75.4
Bayer Leverkusen,UEL,H,88
Qarabag,UEL,H,78.9
Molde,UEL,H,77.9
Hacken,UEL,H,78.2
